Bug list,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defect ID,Module/Function,Title,Description,QC Activity,Severity,Priority,Status,Created Date,Assigned to,Corrective Action,Note,,,,,,,,,,,,,,,,
[UC03-16],??ng nh?p h? th?ng,"Nh?p password thi?u ch? th??ng nh?ng >= 8 ký t?, ch? hoa, s? và kí t? ??c bi?t","Nh?p password thi?u ch? th??ng nh?ng >= 8 ký t?, ch? hoa, s? và kí t? ??c bi?t
Ex: ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p vào h? th?ng
EV:
https://drive.google.com/file/d/1DRp5BszKpyEBFZi4GQfhb5Qxt_ohn63U/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-17],??ng nh?p h? th?ng,"Nh?p password thi?u s? nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và kí t? ??c bi?t","Nh?p password thi?u s? nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và kí t? ??c bi?t
Ex: ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p vào h? th?ng
EV:
https://drive.google.com/file/d/1hUV0ykvJY_Ltk4SsSZWumT7qPed3M1va/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-18],??ng nh?p h? th?ng,"Nh?p password thi?u kí t? ??c bi?t nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và s?","Nh?p password thi?u kí t? ??c bi?t nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và s?
Ex: ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p vào h? th?ng
EV:
https://drive.google.com/file/d/1QtpnfPR_U_l5AIsQK0n_7BCBgucGM7QZ/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-19],??ng nh?p h? th?ng,Nh?p sai password,"Nh?p sai password
Ex: ??ng nh?p không thành công và hi?n th? thông báo “??ng nh?p thành công”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p
EV:
https://drive.google.com/file/d/1rw38kN3U6ys8Kj-siYZ_zxF0pu1UGTy1/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-24],??ng nh?p h? th?ng,Nh?p password ít h?n 8 ký t? cho NTD,"Nh?p password ít h?n 8 ký t? cho NTD
Ex"" ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p
EV: https://drive.google.com/file/d/13EfGpvy6sct5B6tOmA7_dY26448o0_40/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-25],??ng nh?p h? th?ng,"Nh?p password thi?u ch? hoa nh?ng >= 8 ký t?, ch? th??ng, s? và kí t? ??c bi?t cho NTD","Nh?p password thi?u ch? hoa nh?ng >= 8 ký t?, ch? th??ng, s? và kí t? ??c bi?t
Ex"" ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p
EV: https://drive.google.com/file/d/1GqX_-F-Q9K4TufDjRqYLcsWi65Uhd1eV/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-26],??ng nh?p h? th?ng,"Nh?p password thi?u ch? th??ng nh?ng >= 8 ký t?, ch? hoa, s? và kí t? ??c bi?t cho NTD","Nh?p password thi?u ch? th??ng nh?ng >= 8 ký t?, ch? hoa, s? và kí t? ??c bi?t
Ex: "" ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p 
EV:https://drive.google.com/file/d/1dEkF2PndAFKi-4EVolThPXzvj6yVHl6M/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-27],??ng nh?p h? th?ng,"Nh?p password thi?u s? nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và kí t? ??c bi?t cho NTD","Nh?p password thi?u s? nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và kí t? ??c bi?t cho NTD
Ex: "" ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p
EV: https://drive.google.com/file/d/1xChYkdv1fXz-LQ_K-a4ezgSb4sbHzZnM/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC03-28],??ng nh?p h? th?ng,"Nh?p password thi?u kí t? ??c bi?t nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và s? cho NTD","Nh?p password thi?u kí t? ??c bi?t nh?ng >= 8 ký t?, ch? hoa, ch? th??ng và s? cho NTD
Ex: "" ??ng nh?p không thành công và hi?n th? thông báo “M?t kh?u không h?p l?, m?t kh?u ph?i t?i thi?u 8 kí t?, bao g?m ch? hoa, th??ng, s? và kí t? ??c bi?t”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"?ang cho phép ??ng nh?p
EV: https://drive.google.com/file/d/1xChYkdv1fXz-LQ_K-a4ezgSb4sbHzZnM/view?usp=drive_link",,,,,,,,,,,,,,,,
??ng bài tìm ?ng viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
